leaf_type,dominant_plant,min_depth,max_depth,sample_depth,turnover,turnover_n,turnover_growingseason,turnover_wetseason,Latitude,Longitude ,PFT,MAP,MAT
deciduous,tree,0,40,40,20.9,,0.71,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,20.9,,0.71,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,20.9,,0.71,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,20.9,,0.71,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,20.9,,0.71,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,20.9,,0.71,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,133.3,,4.29,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,25.6,,1.29,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,25.6,,1.29,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,25.6,,1.29,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,25.6,,1.29,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,25.6,,1.29,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,25.6,,1.29,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,40,40,25.6,,1.29,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,20,20,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,20,20,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,20,20,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,20,20,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
evergreen,tree,,,0,,,,,30.85,34.78,tropical,,
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,10,20,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
deciduous,tree,0,10,10,,,,,45.38333333,127.5333333,boreal,723,2.8
